timestamp,source_ip,source_port,destination_ip,destination_port,dscp,tos
977979600.913,46.172.119.217,80,149.67.119.121,3068,0,0
977979600.913,46.172.119.217,80,149.67.119.121,3068,0,0
977979600.913,206.158.32.120,47008,170.117.110.161,80,4,16
977979600.915,46.15.205.66,11772,176.97.127.237,80,0,0
977979600.915,207.62.157.58,53,172.17.16.7,1093,0,0
977979600.916,83.27.121.213,2201,176.97.154.167,6346,0,0
977979600.916,207.157.168.93,1051,200.122.16.160,80,0,0
977979600.916,206.133.250.191,6662,176.115.186.73,1256,0,0
977979600.916,212.52.245.148,6688,180.195.87.195,1047,0,0
977979600.916,176.97.154.167,4384,201.127.73.14,6346,0,0
977979600.917,207.157.168.93,1050,200.122.16.160,80,0,0
977979600.917,83.44.21.138,6699,170.117.182.9,2167,0,0
977979600.917,44.176.59.127,6346,176.97.154.167,4111,0,0
977979600.917,212.52.245.148,6688,180.195.87.195,1047,0,0
977979600.918,202.22.136.133,20,170.117.77.112,44136,2,8
977979600.919,200.122.21.248,20,176.97.127.61,2624,0,0
977979600.919,200.122.21.248,20,176.97.127.61,2624,0,0
977979600.919,200.122.21.248,20,176.97.127.61,2624,0,0
977979600.919,46.83.193.150,1386,180.195.4.219,1396,0,0
977979600.92,46.83.193.150,1386,180.195.4.219,1396,0,0
977979600.92,219.184.202.181,1041,180.195.87.195,6699,0,0
977979600.92,176.97.154.167,6346,83.27.121.213,2201,0,0
977979600.921,206.133.253.40,61620,200.13.134.202,4696,0,0
977979600.921,144.222.98.136,4924,71.224.32.251,53,0,0
977979600.921,176.97.154.167,4111,44.176.59.127,6346,0,0
977979600.921,200.122.21.248,20,176.97.127.61,2624,0,0
977979600.922,200.122.21.248,20,176.97.127.61,2624,0,0
977979600.922,200.122.21.248,20,176.97.127.61,2624,0,0
977979600.922,209.135.177.34,80,149.67.64.237,1675,0,0
977979600.923,209.135.177.34,80,149.67.64.237,1675,0,0
977979600.925,202.22.138.50,2064,180.195.37.116,1476,0,0
977979600.925,212.52.245.148,6688,180.195.87.195,1047,0,0
977979600.926,208.64.243.151,80,180.195.87.50,1491,0,0
977979600.926,209.135.177.34,80,149.67.64.237,1675,0,0
977979600.926,176.97.127.61,2624,200.122.21.248,20,0,0
977979600.926,209.30.252.175,6346,176.97.154.167,1164,0,0
977979600.926,209.135.177.34,80,149.67.64.237,1675,0,0
977979600.926,208.64.243.151,80,180.195.87.50,1491,0,0
977979600.926,208.64.243.151,80,180.195.87.50,1491,0,0
977979600.926,176.97.127.61,2624,200.122.21.248,20,0,0
977979600.927,168.183.48.25,6699,207.145.209.67,25012,0,0
977979600.927,212.52.245.148,6688,180.195.87.195,1047,0,0
977979600.927,212.52.245.148,6688,180.195.87.195,1047,0,0
