url,total,ip,tcp,udp
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200608241400.dump.gz,14259282,14187538,12325986,1426694
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200608251400.dump.gz,13422374,13351821,11390537,1518778
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200608261400.dump.gz,10696569,10653692,8809697,1358120
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200608271400.dump.gz,7813551,7768658,6380074,1148336
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200608281400.dump.gz,13582496,13531641,11405741,1572870
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200608291400.dump.gz,17677624,17602552,15729798,1465427
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200608301400.dump.gz,14099658,13908750,12033552,1427432
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200608311400.dump.gz,21058986,20995720,18923784,1435934
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200609011400.dump.gz,16382040,16332589,14570131,1350165
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200609021400.dump.gz,11700753,11631490,8247194,2964370
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200609031400.dump.gz,8116783,8057051,6695431,1141629
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610031400.dump.gz,16581271,16499581,14550242,1345649
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610041400.dump.gz,14705582,14615237,12941477,1410172
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610051400.dump.gz,20551972,20438596,18897243,1255690
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610061400.dump.gz,19084415,18975025,17331287,1392066
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610071400.dump.gz,13073716,12956946,11202739,1368354
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610081400.dump.gz,8566874,8467163,7181484,1138680
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610091400.dump.gz,9730454,9571895,7889597,1290652
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610101400.dump.gz,19260879,19154575,17278247,1322797
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610111400.dump.gz,19132993,19024362,17229726,1439015
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610121400.dump.gz,15887228,15802507,13895040,1675209
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610131400.dump.gz,15940940,15866384,13567284,2007334
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610141400.dump.gz,10187544,10122268,8603538,1234747
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610151400.dump.gz,8489723,8430265,6900301,1422551
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610161400.dump.gz,14466813,14407284,12374154,1770042
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610171400.dump.gz,15885193,15800320,13957970,1568672
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610181400.dump.gz,16531395,16451026,14609122,1532150
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610191400.dump.gz,15298487,15189290,13381318,1489304
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610201400.dump.gz,17129781,17065684,14566476,1324200
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610211400.dump.gz,15395337,15298718,7289754,7717716
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610221400.dump.gz,11651378,11573688,4031324,7435601
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610231400.dump.gz,16704315,16631636,14745734,1458453
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610241400.dump.gz,17024387,16962921,15229776,1619720
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610251400.dump.gz,21216366,21124659,19601614,1344456
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610261400.dump.gz,21949529,21813564,19977858,1569247
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610271400.dump.gz,20278361,20130232,18415121,1500103
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610281400.dump.gz,12413966,12301555,10830675,1255958
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610291400.dump.gz,10745116,10680688,8956036,1549672
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610301400.dump.gz,13791767,13710105,12077372,1420592
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200610311400.dump.gz,16194924,16077121,14428604,1468072
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611011400.dump.gz,18831637,18740690,16705411,1670456
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611021400.dump.gz,17949305,17909939,16057621,1619080
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611031400.dump.gz,13614906,13542319,11112108,2113101
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611041400.dump.gz,9757862,9665942,8005585,1366768
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611051400.dump.gz,8276856,8211101,6728159,1352115
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611061400.dump.gz,16831174,16710045,14833226,1626155
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611071400.dump.gz,16329209,16249353,14272733,1701030
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611081400.dump.gz,19862336,19783360,17843163,1615461
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611091400.dump.gz,17369044,17180703,15193661,1789939
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611101400.dump.gz,17440206,17247134,15313182,1613365
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611111400.dump.gz,69613532,69380394,10708643,58403832
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611121400.dump.gz,65816407,65716176,7325472,58164505
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611131400.dump.gz,73672442,73565929,14907734,58411220
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611141400.dump.gz,73204804,73080872,14335109,58435507
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611151400.dump.gz,74819671,74406137,15712589,58296414
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611161400.dump.gz,75914756,75791578,16780549,58657522
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611171400.dump.gz,76021709,75879480,16814954,58467339
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611181400.dump.gz,68273382,68127682,9599966,58142738
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611191400.dump.gz,43883383,43821190,3905701,39809213
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611201400.dump.gz,76565705,76490918,16797918,58470390
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611211401.dump.gz,68323748,68209114,14475665,53333647
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611221400.dump.gz,16541218,16431967,14383335,1738984
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611231400.dump.gz,14195444,14021503,11888591,1659337
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611241400.dump.gz,18087200,17970071,15796982,1703028
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611251400.dump.gz,12125763,12053810,10319323,1318372
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611261400.dump.gz,11305491,11212595,9614853,1307901
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611271400.dump.gz,19098654,19002855,17068538,1677518
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611281400.dump.gz,22795731,22691800,20223049,2035651
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611291400.dump.gz,18950337,18791927,16478832,2056147
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200611301400.dump.gz,22001043,21866671,19702346,1749683
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612011400.dump.gz,19154302,18953804,16430104,2013077
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612021400.dump.gz,12252386,12085234,10305959,1343482
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612031400.dump.gz,5557456,5491217,4266455,1128220
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612041400.dump.gz,19630218,19508387,17487789,1808373
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612051400.dump.gz,17430132,17325457,15497856,1626486
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612061400.dump.gz,17820080,17746636,15739296,1539858
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612071400.dump.gz,17393331,17298555,14939489,1802248
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612081400.dump.gz,18061746,17994117,15540457,1940070
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612091400.dump.gz,9249991,9192540,7335480,1513787
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612101400.dump.gz,8915765,8764774,6896919,1542461
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612111400.dump.gz,18061333,17967321,15541728,1880837
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612121400.dump.gz,17951499,17869020,15757061,1801823
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612131400.dump.gz,15684419,15564982,12905924,1472204
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612141400.dump.gz,18852345,18766935,16412255,1766229
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612151400.dump.gz,5418294,5390210,4682013,533184
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612161400.dump.gz,11362080,11282643,8942817,1824318
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612171400.dump.gz,10052625,9963615,8031396,1577392
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612181400.dump.gz,16528589,16364114,14117804,1741211
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612191400.dump.gz,18799200,18604366,16407273,1733676
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612201400.dump.gz,15367323,15257967,12791801,1901658
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612211400.dump.gz,17430403,17307362,15251032,1628036
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612221400.dump.gz,18747122,18560818,15870169,2052285
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612231400.dump.gz,7039091,6911740,5159648,1489126
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612241400.dump.gz,11154124,11060710,9082899,1668253
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612251400.dump.gz,16636924,16549944,14883720,1386158
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612261400.dump.gz,13905474,13546415,11198456,1989267
http://mawi.nezu.wide.ad.jp/mawi/samplepoint-F/2006/200612271400.dump.gz,12621233,12565008,10690631,1531016
